,date,cases,people_vaccinated,people_fully_vaccinated,daily_vaccinations
0,2020-01-23,0.0,0.0,0.0,
1,2020-01-24,0.0,0.0,0.0,
2,2020-01-25,0.0,0.0,0.0,
3,2020-01-26,0.0,0.0,0.0,
4,2020-01-27,1.0,0.0,0.0,
5,2020-01-28,3.0,0.0,0.0,
6,2020-01-29,0.0,0.0,0.0,
7,2020-01-30,0.0,0.0,0.0,
8,2020-01-31,1.0,0.0,0.0,
9,2020-02-01,3.0,0.0,0.0,
10,2020-02-02,2.0,0.0,0.0,
11,2020-02-03,2.0,0.0,0.0,
12,2020-02-04,0.0,0.0,0.0,
13,2020-02-05,0.0,0.0,0.0,
14,2020-02-06,0.0,0.0,0.0,
15,2020-02-07,1.0,0.0,0.0,
16,2020-02-08,0.0,0.0,0.0,
17,2020-02-09,1.0,0.0,0.0,
18,2020-02-10,0.0,0.0,0.0,
19,2020-02-11,2.0,0.0,0.0,
20,2020-02-12,0.0,0.0,0.0,
21,2020-02-13,0.0,0.0,0.0,
22,2020-02-14,0.0,0.0,0.0,
23,2020-02-15,0.0,0.0,0.0,
24,2020-02-16,0.0,0.0,0.0,
25,2020-02-17,0.0,0.0,0.0,
26,2020-02-18,0.0,0.0,0.0,
27,2020-02-19,0.0,0.0,0.0,
28,2020-02-20,0.0,0.0,0.0,
29,2020-02-21,0.0,0.0,0.0,
30,2020-02-22,0.0,0.0,0.0,
31,2020-02-23,0.0,0.0,0.0,
32,2020-02-24,0.0,0.0,0.0,
33,2020-02-25,1.0,0.0,0.0,
34,2020-02-26,10.0,0.0,0.0,
35,2020-02-27,19.0,0.0,0.0,
36,2020-02-28,2.0,0.0,0.0,
37,2020-02-29,31.0,0.0,0.0,
38,2020-03-01,51.0,0.0,0.0,
39,2020-03-02,29.0,0.0,0.0,
40,2020-03-03,37.0,0.0,0.0,
41,2020-03-04,66.0,0.0,0.0,
42,2020-03-05,220.0,0.0,0.0,
43,2020-03-06,188.0,0.0,0.0,
44,2020-03-07,129.0,0.0,0.0,
45,2020-03-08,241.0,0.0,0.0,
46,2020-03-09,136.0,0.0,0.0,
47,2020-03-10,281.0,0.0,0.0,
48,2020-03-11,451.0,0.0,0.0,
49,2020-03-12,170.0,0.0,0.0,
50,2020-03-13,1597.0,0.0,0.0,
51,2020-03-14,910.0,0.0,0.0,
52,2020-03-15,1210.0,0.0,0.0,
53,2020-03-16,1477.0,0.0,0.0,
54,2020-03-17,1985.0,0.0,0.0,
55,2020-03-18,3070.0,0.0,0.0,
56,2020-03-19,2993.0,0.0,0.0,
57,2020-03-20,4528.0,0.0,0.0,
58,2020-03-21,2365.0,0.0,0.0,
59,2020-03-22,2660.0,0.0,0.0,
60,2020-03-23,4183.0,0.0,0.0,
61,2020-03-24,3930.0,0.0,0.0,
62,2020-03-25,4337.0,0.0,0.0,
63,2020-03-26,6615.0,0.0,0.0,
64,2020-03-27,6933.0,0.0,0.0,
65,2020-03-28,6824.0,0.0,0.0,
66,2020-03-29,4400.0,0.0,0.0,
67,2020-03-30,4790.0,0.0,0.0,
68,2020-03-31,4923.0,0.0,0.0,
69,2020-04-01,6064.0,0.0,0.0,
70,2020-04-02,6922.0,0.0,0.0,
71,2020-04-03,6365.0,0.0,0.0,
72,2020-04-04,4933.0,0.0,0.0,
73,2020-04-05,4031.0,0.0,0.0,
74,2020-04-06,3251.0,0.0,0.0,
75,2020-04-07,4289.0,0.0,0.0,
76,2020-04-08,5633.0,0.0,0.0,
77,2020-04-09,4885.0,0.0,0.0,
78,2020-04-10,3990.0,0.0,0.0,
79,2020-04-11,2737.0,0.0,0.0,
80,2020-04-12,2946.0,0.0,0.0,
81,2020-04-13,2218.0,0.0,0.0,
82,2020-04-14,1287.0,0.0,0.0,
83,2020-04-15,3394.0,0.0,0.0,
84,2020-04-16,2945.0,0.0,0.0,
85,2020-04-17,3699.0,0.0,0.0,
86,2020-04-18,1945.0,0.0,0.0,
87,2020-04-19,1842.0,0.0,0.0,
88,2020-04-20,1881.0,0.0,0.0,
89,2020-04-21,1226.0,0.0,0.0,
90,2020-04-22,2357.0,0.0,0.0,
91,2020-04-23,2481.0,0.0,0.0,
92,2020-04-24,1870.0,0.0,0.0,
93,2020-04-25,1514.0,0.0,0.0,
94,2020-04-26,1257.0,0.0,0.0,
95,2020-04-27,988.0,0.0,0.0,
96,2020-04-28,1154.0,0.0,0.0,
97,2020-04-29,1627.0,0.0,0.0,
98,2020-04-30,1470.0,0.0,0.0,
99,2020-05-01,1068.0,0.0,0.0,
100,2020-05-02,890.0,0.0,0.0,
101,2020-05-03,697.0,0.0,0.0,
102,2020-05-04,488.0,0.0,0.0,
103,2020-05-05,855.0,0.0,0.0,
104,2020-05-06,1155.0,0.0,0.0,
105,2020-05-07,1268.0,0.0,0.0,
106,2020-05-08,1158.0,0.0,0.0,
107,2020-05-09,736.0,0.0,0.0,
108,2020-05-10,555.0,0.0,0.0,
109,2020-05-11,697.0,0.0,0.0,
110,2020-05-12,595.0,0.0,0.0,
111,2020-05-13,927.0,0.0,0.0,
112,2020-05-14,380.0,0.0,0.0,
113,2020-05-15,755.0,0.0,0.0,
114,2020-05-16,519.0,0.0,0.0,
115,2020-05-17,617.0,0.0,0.0,
116,2020-05-18,182.0,0.0,0.0,
117,2020-05-19,1227.0,0.0,0.0,
118,2020-05-20,695.0,0.0,0.0,
119,2020-05-21,548.0,0.0,0.0,
120,2020-05-22,689.0,0.0,0.0,
121,2020-05-23,276.0,0.0,0.0,
122,2020-05-24,342.0,0.0,0.0,
123,2020-05-25,272.0,0.0,0.0,
124,2020-05-26,600.0,0.0,0.0,
125,2020-05-27,324.0,0.0,0.0,
126,2020-05-28,672.0,0.0,0.0,
127,2020-05-29,726.0,0.0,0.0,
128,2020-05-30,267.0,0.0,0.0,
129,2020-05-31,221.0,0.0,0.0,
130,2020-06-01,184.0,0.0,0.0,
131,2020-06-02,285.0,0.0,0.0,
132,2020-06-03,242.0,0.0,0.0,
133,2020-06-04,351.0,0.0,0.0,
134,2020-06-05,452.0,0.0,0.0,
135,2020-06-06,526.0,0.0,0.0,
136,2020-06-07,300.0,0.0,0.0,
137,2020-06-08,359.0,0.0,0.0,
138,2020-06-09,397.0,0.0,0.0,
139,2020-06-10,16.0,0.0,0.0,
140,2020-06-11,169.0,0.0,0.0,
141,2020-06-12,535.0,0.0,0.0,
142,2020-06-13,41.0,0.0,0.0,
143,2020-06-14,251.0,0.0,0.0,
144,2020-06-15,164.0,0.0,0.0,
145,2020-06-16,570.0,0.0,0.0,
146,2020-06-17,352.0,0.0,0.0,
147,2020-06-18,1213.0,0.0,0.0,
148,2020-06-19,482.0,0.0,0.0,
149,2020-06-20,371.0,0.0,0.0,
150,2020-06-21,602.0,0.0,0.0,
151,2020-06-22,496.0,0.0,0.0,
152,2020-06-23,712.0,0.0,0.0,
153,2020-06-24,391.0,0.0,0.0,
154,2020-06-25,500.0,0.0,0.0,
155,2020-06-26,665.0,0.0,0.0,
156,2020-06-27,422.0,0.0,0.0,
157,2020-06-28,235.0,0.0,0.0,
158,2020-06-29,349.0,0.0,0.0,
159,2020-06-30,376.0,0.0,0.0,
160,2020-07-01,475.0,0.0,0.0,
161,2020-07-02,477.0,0.0,0.0,
162,2020-07-03,410.0,0.0,0.0,
163,2020-07-04,418.0,0.0,0.0,
164,2020-07-05,325.0,0.0,0.0,
165,2020-07-06,541.0,0.0,0.0,
166,2020-07-07,279.0,0.0,0.0,
167,2020-07-08,356.0,0.0,0.0,
168,2020-07-09,302.0,0.0,0.0,
169,2020-07-10,331.0,0.0,0.0,
170,2020-07-11,377.0,0.0,0.0,
171,2020-07-12,210.0,0.0,0.0,
172,2020-07-13,261.0,0.0,0.0,
173,2020-07-14,276.0,0.0,0.0,
174,2020-07-15,434.0,0.0,0.0,
175,2020-07-16,560.0,0.0,0.0,
176,2020-07-17,595.0,0.0,0.0,
177,2020-07-18,381.0,0.0,0.0,
178,2020-07-19,309.0,0.0,0.0,
179,2020-07-20,590.0,0.0,0.0,
180,2020-07-21,392.0,0.0,0.0,
181,2020-07-22,559.0,0.0,0.0,
182,2020-07-23,605.0,0.0,0.0,
183,2020-07-24,742.0,0.0,0.0,
184,2020-07-25,655.0,0.0,0.0,
185,2020-07-26,389.0,0.0,0.0,
186,2020-07-27,445.0,0.0,0.0,
187,2020-07-28,595.0,0.0,0.0,
188,2020-07-29,839.0,0.0,0.0,
189,2020-07-30,989.0,0.0,0.0,
190,2020-07-31,864.0,0.0,0.0,
191,2020-08-01,606.0,0.0,0.0,
192,2020-08-02,215.0,0.0,0.0,
193,2020-08-03,891.0,0.0,0.0,
194,2020-08-04,717.0,0.0,0.0,
195,2020-08-05,1285.0,0.0,0.0,
196,2020-08-06,926.0,0.0,0.0,
197,2020-08-07,1157.0,0.0,0.0,
198,2020-08-08,707.0,0.0,0.0,
199,2020-08-09,385.0,0.0,0.0,
200,2020-08-10,1220.0,0.0,0.0,
201,2020-08-11,1032.0,0.0,0.0,
202,2020-08-12,1319.0,0.0,0.0,
203,2020-08-13,1422.0,0.0,0.0,
204,2020-08-14,1510.0,0.0,0.0,
205,2020-08-15,697.0,0.0,0.0,
206,2020-08-16,519.0,0.0,0.0,
207,2020-08-17,1693.0,0.0,0.0,
208,2020-08-18,1420.0,0.0,0.0,
209,2020-08-19,1586.0,0.0,0.0,
210,2020-08-20,1586.0,0.0,0.0,
211,2020-08-21,1737.0,0.0,0.0,
212,2020-08-22,832.0,0.0,0.0,
213,2020-08-23,633.0,0.0,0.0,
214,2020-08-24,1628.0,0.0,0.0,
215,2020-08-25,1461.0,0.0,0.0,
216,2020-08-26,1427.0,0.0,0.0,
217,2020-08-27,1561.0,0.0,0.0,
218,2020-08-28,1555.0,0.0,0.0,
219,2020-08-29,709.0,0.0,0.0,
220,2020-08-30,470.0,0.0,0.0,
221,2020-08-31,1497.0,0.0,0.0,
222,2020-09-01,1213.0,0.0,0.0,
223,2020-09-02,1396.0,0.0,0.0,
224,2020-09-03,1429.0,0.0,0.0,
225,2020-09-04,1443.0,0.0,0.0,
226,2020-09-05,775.0,0.0,0.0,
227,2020-09-06,670.0,0.0,0.0,
228,2020-09-07,1898.0,0.0,0.0,
229,2020-09-08,1331.0,0.0,0.0,
230,2020-09-09,1476.0,0.0,0.0,
231,2020-09-10,1716.0,0.0,0.0,
232,2020-09-11,1586.0,0.0,0.0,
233,2020-09-12,1082.0,0.0,0.0,
234,2020-09-13,920.0,0.0,0.0,
235,2020-09-14,1485.0,0.0,0.0,
236,2020-09-15,1792.0,0.0,0.0,
237,2020-09-16,1855.0,0.0,0.0,
238,2020-09-17,2179.0,0.0,0.0,
239,2020-09-18,2199.0,0.0,0.0,
240,2020-09-19,1685.0,0.0,0.0,
241,2020-09-20,1033.0,0.0,0.0,
242,2020-09-21,1595.0,0.0,0.0,
243,2020-09-22,1852.0,0.0,0.0,
244,2020-09-23,1613.0,0.0,0.0,
245,2020-09-24,2321.0,0.0,0.0,
246,2020-09-25,2366.0,0.0,0.0,
247,2020-09-26,1314.0,0.0,0.0,
248,2020-09-27,1313.0,0.0,0.0,
249,2020-09-28,2292.0,0.0,0.0,
250,2020-09-29,1840.0,0.0,0.0,
251,2020-09-30,2442.0,0.0,0.0,
252,2020-10-01,2626.0,0.0,0.0,
253,2020-10-02,2835.0,0.0,0.0,
254,2020-10-03,1653.0,0.0,0.0,
255,2020-10-04,1546.0,0.0,0.0,
256,2020-10-05,3100.0,0.0,0.0,
257,2020-10-06,2454.0,0.0,0.0,
258,2020-10-07,4010.0,0.0,0.0,
259,2020-10-08,4804.0,0.0,0.0,
260,2020-10-09,4554.0,0.0,0.0,
261,2020-10-10,2968.0,0.0,0.0,
262,2020-10-11,2846.0,0.0,0.0,
263,2020-10-12,6541.0,0.0,0.0,
264,2020-10-13,4464.0,0.0,0.0,
265,2020-10-14,7173.0,0.0,0.0,
266,2020-10-15,7620.0,0.0,0.0,
267,2020-10-16,7695.0,0.0,0.0,
268,2020-10-17,4862.0,0.0,0.0,
269,2020-10-18,4007.0,0.0,0.0,
270,2020-10-19,8397.0,0.0,0.0,
271,2020-10-20,8523.0,0.0,0.0,
272,2020-10-21,12331.0,0.0,0.0,
273,2020-10-22,5952.0,0.0,0.0,
274,2020-10-23,13476.0,0.0,0.0,
275,2020-10-24,10458.0,0.0,0.0,
276,2020-10-25,9890.0,0.0,0.0,
277,2020-10-26,12560.0,0.0,0.0,
278,2020-10-27,13161.0,0.0,0.0,
279,2020-10-28,16202.0,0.0,0.0,
280,2020-10-29,18733.0,0.0,0.0,
281,2020-10-30,19382.0,0.0,0.0,
282,2020-10-31,14054.0,0.0,0.0,
283,2020-11-01,12556.0,0.0,0.0,
284,2020-11-02,25252.0,0.0,0.0,
285,2020-11-03,7533.0,0.0,0.0,
286,2020-11-04,31480.0,0.0,0.0,
287,2020-11-05,22561.0,0.0,0.0,
288,2020-11-06,22820.0,0.0,0.0,
289,2020-11-07,14122.0,0.0,0.0,
290,2020-11-08,14510.0,0.0,0.0,
291,2020-11-09,6522.0,0.0,0.0,
292,2020-11-10,26547.0,0.0,0.0,
293,2020-11-11,22401.0,0.0,0.0,
294,2020-11-12,24738.0,0.0,0.0,
295,2020-11-13,22261.0,0.0,0.0,
296,2020-11-14,14640.0,0.0,0.0,
297,2020-11-15,3213.0,0.0,0.0,
298,2020-11-16,14580.0,0.0,0.0,
299,2020-11-17,26231.0,0.0,0.0,
300,2020-11-18,23727.0,0.0,0.0,
301,2020-11-19,24041.0,0.0,0.0,
302,2020-11-20,22593.0,0.0,0.0,
303,2020-11-21,13872.0,0.0,0.0,
304,2020-11-22,4377.0,0.0,0.0,
