,location,date,vaccine,total_vaccinations
0,Austria,2021-01-08,Johnson&Johnson,1
1,Austria,2021-01-08,Moderna,0
2,Austria,2021-01-08,Oxford/AstraZeneca,0
3,Austria,2021-01-08,Pfizer/BioNTech,31580
4,Austria,2021-01-15,Johnson&Johnson,1
5,Austria,2021-01-15,Moderna,97
6,Austria,2021-01-15,Oxford/AstraZeneca,0
7,Austria,2021-01-15,Pfizer/BioNTech,116948
8,Austria,2021-01-22,Johnson&Johnson,1
9,Austria,2021-01-22,Moderna,338
10,Austria,2021-01-22,Oxford/AstraZeneca,0
11,Austria,2021-01-22,Pfizer/BioNTech,214699
12,Austria,2021-01-29,Johnson&Johnson,1
13,Austria,2021-01-29,Moderna,4334
14,Austria,2021-01-29,Oxford/AstraZeneca,0
15,Austria,2021-01-29,Pfizer/BioNTech,259860
16,Austria,2021-02-05,Johnson&Johnson,1
17,Austria,2021-02-05,Moderna,6047
18,Austria,2021-02-05,Oxford/AstraZeneca,0
19,Austria,2021-02-05,Pfizer/BioNTech,356265
20,Austria,2021-02-12,Johnson&Johnson,1
21,Austria,2021-02-12,Moderna,10172
22,Austria,2021-02-12,Oxford/AstraZeneca,10810
23,Austria,2021-02-12,Pfizer/BioNTech,458483
24,Austria,2021-02-19,Johnson&Johnson,1
25,Austria,2021-02-19,Moderna,14345
26,Austria,2021-02-19,Oxford/AstraZeneca,43662
27,Austria,2021-02-19,Pfizer/BioNTech,524676
28,Austria,2021-02-26,Johnson&Johnson,2
29,Austria,2021-02-26,Moderna,22824
30,Austria,2021-02-26,Oxford/AstraZeneca,101643
31,Austria,2021-02-26,Pfizer/BioNTech,586326
32,Austria,2021-03-05,Johnson&Johnson,5
33,Austria,2021-03-05,Moderna,32215
34,Austria,2021-03-05,Oxford/AstraZeneca,156801
35,Austria,2021-03-05,Pfizer/BioNTech,691409
36,Austria,2021-03-12,Johnson&Johnson,7
37,Austria,2021-03-12,Moderna,47652
38,Austria,2021-03-12,Oxford/AstraZeneca,235898
39,Austria,2021-03-12,Pfizer/BioNTech,855208
40,Austria,2021-03-19,Johnson&Johnson,34
41,Austria,2021-03-19,Moderna,79537
42,Austria,2021-03-19,Oxford/AstraZeneca,309455
43,Austria,2021-03-19,Pfizer/BioNTech,988638
44,Austria,2021-03-26,Johnson&Johnson,59
45,Austria,2021-03-26,Moderna,105079
46,Austria,2021-03-26,Oxford/AstraZeneca,385247
47,Austria,2021-03-26,Pfizer/BioNTech,1136436
48,Austria,2021-04-02,Johnson&Johnson,105
49,Austria,2021-04-02,Moderna,141687
50,Austria,2021-04-02,Oxford/AstraZeneca,424031
51,Austria,2021-04-02,Pfizer/BioNTech,1285853
52,Austria,2021-04-09,Johnson&Johnson,191
53,Austria,2021-04-09,Moderna,181494
54,Austria,2021-04-09,Oxford/AstraZeneca,514737
55,Austria,2021-04-09,Pfizer/BioNTech,1509330
